id_type_arme1;id_type_arme2;id_type_arme3;id_type_arme4
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
6;0;0;0
